5.1,3.5,1.4,0.2,Salta y Dispara
4.9,3.0,1.4,0.2,Salta y Dispara
4.7,3.2,1.3,0.2,Salta y Dispara
4.6,3.1,1.5,0.2,Salta y Dispara
5.0,3.6,1.4,0.2,Salta y Dispara
5.4,3.9,1.7,0.4,Salta y Dispara
4.6,3.4,1.4,0.3,Salta y Dispara
5.0,3.4,1.5,0.2,Salta y Dispara
4.4,2.9,1.4,0.2,Salta y Dispara
4.9,3.1,1.5,0.1,Salta y Dispara
5.4,3.7,1.5,0.2,Salta y Dispara
4.8,3.4,1.6,0.2,Salta y Dispara
4.8,3.0,1.4,0.1,Salta y Dispara
4.3,3.0,1.1,0.1,Salta y Dispara
5.8,4.0,1.2,0.2,Salta y Dispara
5.7,4.4,1.5,0.4,Salta y Dispara
5.4,3.9,1.3,0.4,Salta y Dispara
5.1,3.5,1.4,0.3,Salta y Dispara
5.7,3.8,1.7,0.3,Salta y Dispara
5.1,3.8,1.5,0.3,Salta y Dispara
5.4,3.4,1.7,0.2,Salta y Dispara
5.1,3.7,1.5,0.4,Salta y Dispara
9.6,3.6,1.0,1.2,Salta y Dispara
9.1,3.3,1.7,1.5,Salta y Dispara
9.8,3.4,1.9,1.2,Salta y Dispara
8.0,3.0,1.6,1.2,Salta y Dispara
9.0,3.4,1.6,1.4,Salta y Dispara
9.2,3.5,1.5,1.2,Salta y Dispara
5.2,3.4,1.4,1.2,Salta y Dispara
4.7,3.2,1.6,1.2,Salta y Dispara
4.8,3.1,1.6,1.2,Salta y Dispara
5.4,3.4,1.5,1.4,Salta y Dispara
5.2,4.1,1.5,1.1,Salta y Dispara
5.5,4.2,0.4,0.2,Salta y Dispara
4.9,3.1,0.5,0.1,Salta y Dispara
5.0,3.2,0.2,0.2,Salta y Dispara
5.5,3.5,0.3,0.2,Salta y Dispara
4.9,3.1,0.5,0.1,Salta y Dispara
4.4,3.0,0.3,0.2,Salta y Dispara
5.1,3.4,0.5,0.2,Salta y Dispara
5.0,0.5,1.3,0.3,Salta y Dispara
4.5,0.3,1.3,0.3,Salta y Dispara
4.4,0.2,1.3,0.2,Salta y Dispara
5.0,0.5,1.6,0.6,Salta y Dispara
5.1,0.8,1.9,0.4,Salta y Dispara
